Dataset: ;Last updated: ;Time frequency;Tenure status;Unit of measure;Time;HHCOMP (Labels);Region;Year;Value
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of married couple with at least one resident child under 25 years;381272
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of couple in registered partnership;979
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of couple in registered partnership with at least one resident child under 25 years;89
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of couple in consensual union;110901
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of couple in consensual union with at least one resident child under 25 years;27729
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of lone father living with at least one child;18458
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of lone father with at least one resident child 25 years or older;5976
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of lone mother with at least one resident child under 25 years;70679
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;Household composed of two-or-more-family nucleus;23024
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Stuttgart;One-person household;599212
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Total;1202663
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of married couple;550699
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of married couple with at least one resident child under 25 years;242706
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of couple in registered partnership;813
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of couple in registered partnership with at least one resident child under 25 years;64
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of couple in consensual union;78809
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of couple in consensual union with at least one resident child under 25 years;20045
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of lone father living with at least one child;13048
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of lone father with at least one resident child 25 years or older;4138
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of lone mother with at least one resident child under 25 years;52090
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;Household composed of two-or-more-family nucleus;16514
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Karlsruhe;One-person household;440387
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Total;944752
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of married couple;441493
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of married couple with at least one resident child under 25 years;200010
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of couple in registered partnership;502
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of couple in registered partnership with at least one resident child under 25 years;45
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of couple in consensual union;66740
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of couple in consensual union with at least one resident child under 25 years;18834
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of lone father living with at least one child;10317
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of lone father with at least one resident child 25 years or older;3155
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of lone mother with at least one resident child under 25 years;42275
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;Household composed of two-or-more-family nucleus;13695
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Freiburg;One-person household;332253
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Total;747950
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of married couple;371263
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of married couple with at least one resident child under 25 years;175702
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of couple in registered partnership;241
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of couple in registered partnership with at least one resident child under 25 years;18
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of couple in consensual union;49247
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of couple in consensual union with at least one resident child under 25 years;13058
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of lone father living with at least one child;8818
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of lone father with at least one resident child 25 years or older;2790
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of lone mother with at least one resident child under 25 years;30867
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;Household composed of two-or-more-family nucleus;10972
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Tübingen;One-person household;246023
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Total;5527406
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of married couple;2564171
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of married couple with at least one resident child under 25 years;1162086
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of couple in registered partnership;3351
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of couple in registered partnership with at least one resident child under 25 years;263
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of couple in consensual union;367341
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of couple in consensual union with at least one resident child under 25 years;102262
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of lone father living with at least one child;60869
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of lone father with at least one resident child 25 years or older;21104
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of lone mother with at least one resident child under 25 years;237480
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;Household composed of two-or-more-family nucleus;81744
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Bayern;One-person household;1996864
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Total;1990282
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of married couple;848649
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of married couple with at least one resident child under 25 years;389804
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of couple in registered partnership;1844
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of couple in registered partnership with at least one resident child under 25 years;123
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of couple in consensual union;142852
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of couple in consensual union with at least one resident child under 25 years;38033
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of lone father living with at least one child;20129
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of lone father with at least one resident child 25 years or older;6392
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of lone mother with at least one resident child under 25 years;85253
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;Household composed of two-or-more-family nucleus;27749
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberbayern;One-person household;780658
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Total;487079
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of married couple;249090
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of married couple with at least one resident child under 25 years;117511
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of couple in registered partnership;135
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of couple in registered partnership with at least one resident child under 25 years;9
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of couple in consensual union;30783
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of couple in consensual union with at least one resident child under 25 years;9592
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of lone father living with at least one child;6148
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of lone father with at least one resident child 25 years or older;2347
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of lone mother with at least one resident child under 25 years;20253
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;Household composed of two-or-more-family nucleus;10604
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Niederbayern;One-person household;150867
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Total;459710
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of married couple;229415
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of married couple with at least one resident child under 25 years;107253
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of couple in registered partnership;133
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of couple in registered partnership with at least one resident child under 25 years;21
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of couple in consensual union;26975
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of couple in consensual union with at least one resident child under 25 years;7632
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of lone father living with at least one child;5400
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of lone father with at least one resident child 25 years or older;2107
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of lone mother with at least one resident child under 25 years;18997
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;Household composed of two-or-more-family nucleus;7361
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberpfalz;One-person household;153853
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Total;472322
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of married couple;227875
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of married couple with at least one resident child under 25 years;96850
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of couple in registered partnership;145
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of couple in registered partnership with at least one resident child under 25 years;18
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of couple in consensual union;29562
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of couple in consensual union with at least one resident child under 25 years;9269
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of lone father living with at least one child;5736
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of lone father with at least one resident child 25 years or older;2179
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of lone mother with at least one resident child under 25 years;20358
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;Household composed of two-or-more-family nucleus;7483
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Oberfranken;One-person household;163052
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Total;772868
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of married couple;354306
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of married couple with at least one resident child under 25 years;153188
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of couple in registered partnership;555
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of couple in registered partnership with at least one resident child under 25 years;38
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of couple in consensual union;48929
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of couple in consensual union with at least one resident child under 25 years;12949
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of lone father living with at least one child;7772
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of lone father with at least one resident child 25 years or older;2540
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of lone mother with at least one resident child under 25 years;34900
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;Household composed of two-or-more-family nucleus;9565
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Mittelfranken;One-person household;289053
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Unterfranken;Total;566305
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Unterfranken;Household composed of married couple;280914
Private households by type, tenure status and NUTS 2 region [CENS_11HTTS_R2__custom_6393112];23/04/2015 23:00;Annual;Total;Number;2011;Total;Unterfranken;Household composed of married couple with at least one resident child under 25 years;124251
