NUTS;City;Average Concentration
FRD2;Le Havre;2.112348833215384
FRL0;Marseille;1.898982760149782
FRL0;Martigues;1.898982760149782
FRF3;Nancy;0.9302184315523896
FR10;Paris;0.847692247111231
FRF2;Reims;0.20647515331865954
FRD2;Rouen;2.112348833215384
EL52;Thessaloniki;2.9277443260768874
HR02;Osijek;3.4206618357728504
HR03;Rijeka;2.515069320270154
HR02;Slavonski Brod;3.4206618357728504
HR03;Split;2.515069320270154
HR05;Zagreb;2.2860922706871705
HU11;Budapest;4.5696185591113005
HU32;Debrecen;2.915526265803502
HU31;Miskolc;3.657617788622054
HU32;Nyíregyháza;2.915526265803502
HU23;Pécs;3.627778093918977
HU33;Szeged;8.989602373325747
IE05;Cork;3.2032839025351616
IE06;Dublin;3.277924285128159
ITI3;Ancona;3.8492230653601034
ITC1;Asti;2.718192853689772
ITC4;Bergamo;2.180347034279531
ITC1;Biella;2.718192853689772
ITH4;Bolzano;0.9731748165037137
ITC4;Brescia;2.180347034279531
ITC4;Busto Arsizio;2.180347034279531
ITG2;Cagliari;1.2468718720936767
ITF2;Campobasso;3.5625274715289312
ITG1;Catania;3.9773596594763037
ITF6;Catanzaro;6.982362670205905
ITC4;Como;2.180347034279531
ITF6;Cosenza;6.982362670205905
ITC4;Cremona;2.180347034279531
ITC3;La Spezia;3.8956169345789595
ITC4;Lecco;2.180347034279531
ITI1;Livorno;0.7873912525324752
ITG1;Messina;3.9773596594763037
ITI2;Milano;2.9996661640135813
ITC1;Novara;2.718192853689772
ITC4;Padova;2.180347034279531
ITG1;Palermo;3.9773596594763037
ITC4;Pavia;2.180347034279531
ITI2;Perugia;2.9996661640135813
ITF1;Pescara;0.7605577587270157
ITH5;Ravenna;5.700008095854923
ITC1;Roma;2.718192853689772
ITF3;Salerno;1.5944311280121535
ITC3;Sanremo;3.8956169345789595
ITG2;Sassari;1.2468718720936767
ITC3;Savona;3.8956169345789595
ITF4;Taranto;3.394369690672809
ITH5;Torino;5.700008095854923
ITH2;Trento;2.0815005707068703
ITH3;Treviso;3.0325792931244613
ITH4;Trieste;0.9731748165037137
ITC4;Varese;2.180347034279531
ITH3;Venezia;3.0325792931244613
ITH3;Verona;3.0325792931244613
ITH3;Vicenza;3.0325792931244613
LT02;Kaunas;5.81090919155221
LT01;Vilnius;7.988992302951516
LT02;Šiauliai;5.81090919155221
LU00;Luxembourg;1.95788748048751
LV00;Liepaja;1.6063664439890788
LV00;Riga;1.6063664439890788
MT00;Valletta;0.5900428387750557
NL32;Amsterdam;0.2808451678189573
NO08;Oslo;0.2724574680281869
PL61;Bydgoszcz;2.460219351287627
PL63;Gdansk;3.2885327037402163
PL63;Gdynia;3.2885327037402163
PL43;Gorzów Wielkopolski;6.650081181787334
PL51;Jelenia Góra;4.949458927237745
PL41;Kalisz;3.852943163550884
PL72;Kielce;10.362694593649497
PL42;Koszalin;3.0107861494763415
PL92;Kraków;3.043520575063666
PL51;Legnica;4.949458927237745
PL81;Lublin;4.3971868451647795
PL62;Olsztyn;4.482434663645727
PL52;Opole;3.6340940309455245
PL71;Piotrków Trybunalski;5.6439921140500795
PL92;Radom;3.043520575063666
PL22;Rybnik;8.32088418702733
PL82;Rzeszów;5.20218754663216
PL42;Szczecin;3.0107861494763415
PL21;Tarnów;5.964989504626175
PL41;Warszawa;3.852943163550884
PL71;Zgierz;5.6439921140500795
PL43;Zielona Góra;6.650081181787334
PL84;Zory;7.941217588848641
PT16;Aveiro;2.5173021265886497
PT30;Funchal;2.6215760033220086
PT17;Setúbal;1.073329485709206
PT17;Sintra;1.073329485709206
RO12;Brasov;5.867052111477916
RO41;Craiova;10.394067050671449
RO12;Sibiu;5.867052111477916
SE22;Helsingborg;1.6863368958381935
SE12;Linköping;0.25
SE21;Malmö;0.7874762819264866
SE11;Stockholm;0.3636363636363636
SI04;Ljubljana;3.0279304543721186
SK03;Banská Bystrica;6.937331179960619
SK01;Bratislava;2.5176149680035516
SK04;Košice;4.311468738530243
