Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Germany","NET.DE_SL","Ingrid Zell","DESL012","Saarbrücken-City","SPO.DE_DESL012_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2023","13.558","ug/m3","77.14","3","Background","Urban","6.9876","49.2335","192.0","Saarbrücken                                                                     ","DE040C1                                           ","180374","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW029","Aalen","SPO.DE_DEBW029_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","14.948","ug/m3","99.55","1","Background","Suburban","10.0963","48.8479","424.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DEBW029&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BE","Dr. Katja Grunnow","DEBE064","Berlin Karl-Marx-Straße","SPO.DE_DEBE064_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2020","23.915","ug/m3","99.65","1","Traffic","Urban","13.4340","52.4817","40.0","Berlin                                                                          ","DE001C1                                           ","3669491","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA.DE_DEBE064&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_HE","Diana Rose","DEHE159","Frankfurt-Riedberg","SPO.DE_DEHE159_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2023","13.659","ug/m3","78.19","3","Background","Urban","8.6349","50.1730","140.0","Frankfurt am Main                                                               ","DE005C1                                           ","763380","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW038","Mülheim-Styrum","SPO.DE_DENW038_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2015","20.721","ug/m3","98.75","1","Background","Urban","6.8651","51.4535","39.0","Mülheim a.d.Ruhr                                                                ","DE022C1                                           ","170632","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA.DE_DENW038&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW038","Mülheim-Styrum","SPO.DE_DENW038_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","20.071","ug/m3","98.00","1","Background","Urban","6.8651","51.4535","39.0","Mülheim a.d.Ruhr                                                                ","DE022C1                                           ","170632","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DENW038&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW013","Stuttgart-Bad Cannstatt","SPO.DE_DEBW013_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","14.987","ug/m3","99.91","1","Background","Urban","9.2297","48.8088","235.0","Stuttgart                                                                       ","DE007C1                                           ","635911","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DEBW013&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW064","Simmerath (Eifel)","SPO.DE_DENW064_PM1_dataGroup3","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2020","9.089","ug/m3","49.91","1","Background","Rural","6.2810","50.6532","580.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA.DE_DENW064&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_RP","Margit von Döhren","DERP009","Mainz-Zitadelle","SPO.DE_DERP009_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2015","20.138","ug/m3","99.52","1","Background","Urban","8.2740","49.9950","100.0","Mainz                                                                           ","DE037C1                                           ","218578","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA.DE_DERP009&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW081","Karlsruhe-Nordwest","SPO.DE_DEBW081_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2023","13.529","ug/m3","77.85","3","Background","Urban","8.3556","49.0286","114.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_BY","Susanne Schmid","DEBY109","Andechs/Rothenfeld","SPO.DE_DEBY109_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","12.465","ug/m3","98.09","1","Background","Rural","11.2202","47.9688","700.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DEBY109&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_SN","Martina Strakova","DESN076","Collmberg","SPO.DE_DESN076_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2018","14.354","ug/m3","99.18","1","Background","Rural","13.0094","51.3038","313.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2018&Year_to=2018&Station=STA.DE_DESN076&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_NW","Dr. Steffen Freitag","DENW136","Dortmund Brackeler Straße","SPO.DE_DENW136_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","19.578","ug/m3","98.85","1","Traffic","Urban","7.4836","51.5235","80.0","Dortmund                                                                        ","DE010C1                                           ","588250","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DENW136&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_RP","Margit von Döhren","DERP015","Westeifel Wascheid","SPO.DE_DERP015_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","8.512","ug/m3","97.13","1","Background","Rural","6.3781","50.2665","680.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DERP015&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW080","Karlsruhe Reinhold-Frank-Straße","SPO.DE_DEBW080_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","19.747","ug/m3","99.82","1","Traffic","Urban","8.3872","49.0080","119.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DEBW080&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_HH","Anne Merike Fiedler","DEHH074","Hamburg Billstedt","SPO.DE_DEHH074_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2016","19.714","ug/m3","66.43","1","Background","Urban","10.1028","53.5385","18.0","Hamburg                                                                         ","DE002C1                                           ","1847253","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2016&Year_to=2016&Station=STA.DE_DEHH074&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BB","Hannes Brauer","DEBB073","Potsdam, Großbeerenstr.","SPO.DE_DEBB073_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","16.135","ug/m3","99.97","3","Traffic","Urban","13.0946","52.3889","32.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DEBB073&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_UB","Bryan Hellack","DEUB001","Westerland","SPO.DE_DEUB001_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","15.074","ug/m3","82.13","1","Background","Rural","8.3082","54.9250","12.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DEUB001&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW122","Freiburg Schwarzwaldstraße","SPO.DE_DEBW122_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2023","13.445","ug/m3","77.83","3","Traffic","Urban","7.8599","47.9882","289.0","Freiburg im Breisgau                                                            ","DE027C1                                           ","231195","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_SH","Dr. Barbara Mathieu-Üffing","DESH057","Kiel-Bremerskamp","SPO.DE_DESH057_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","13.109","ug/m3","16.42","1","Background","Urban","10.1056","54.3476","30.0","Kiel                                                                            ","DE039C1                                           ","246794","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DESH057&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_RP","Margit von Döhren","DERP021","Neuwied-Hafenstraße","SPO.DE_DERP021_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","18.871","ug/m3","99.42","1","Background","Urban","7.4814","50.4247","65.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DERP021&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_RP","Margit von Döhren","DERP023","Worms-Hagenstraße","SPO.DE_DERP023_PM1_dataGroup3","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","17.333","ug/m3","48.54","1","Traffic","Urban","8.3648","49.6288","90.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DERP023&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW073","Neuenburg","SPO.DE_DEBW073_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2020","15.267","ug/m3","98.64","1","Background","Suburban","7.5680","47.8190","223.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA.DE_DEBW073&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_SN","Martina Strakova","DESN093","Brockau","SPO.DE_DESN093_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2023","11.126","ug/m3","72.04","3","Background","Rural","12.2111","50.6081","430.0","","","","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","11/05/2023 20:43:57",""
"Germany","NET.DE_TH","Horst Hempel","DETH041","Jena Dammstr.","SPO.DE_DETH041_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","16.349","ug/m3","98.92","1","Background","Urban","11.5971","50.9335","140.0","Jena                                                                            ","DE547C1                                           ","111343","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DETH041&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BY","Susanne Schmid","DEBY120","Nürnberg/Von-der-Tann-Straße","SPO.DE_DEBY120_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","21.037","ug/m3","98.87","3","Traffic","Urban","11.0361","49.4405","308.0","Nürnberg                                                                        ","DE014C1                                           ","518370","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DEBY120&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_HE","Diana Rose","DEHE005","Frankfurt-Höchst","SPO.DE_DEHE005_PM1_dataGroup3","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2019","18.598","ug/m3","33.33","1","Background","Urban","8.5425","50.1018","103.0","Frankfurt am Main                                                               ","DE005C1                                           ","763380","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.DE_DEHE005&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_TH","Horst Hempel","DETH013","Eisenach Werneburgstr.","SPO.DE_DETH013_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","15.321","ug/m3","99.10","1","Background","Urban","10.3172","50.9783","210.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DETH013&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_HE","Diana Rose","DEHE052","Kleiner Feldberg","SPO.DE_DEHE052_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2015","10.111","ug/m3","99.56","1","Background","Rural","8.4461","50.2219","811.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2015&Year_to=2015&Station=STA.DE_DEHE052&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_SN","Martina Strakova","DESN061","Dresden-Nord","SPO.DE_DESN061_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2018","21.343","ug/m3","97.91","1","Traffic","Urban","13.7414","51.0649","112.0","Dresden                                                                         ","DE009C1                                           ","556780","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2018&Year_to=2018&Station=STA.DE_DESN061&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BY","Susanne Schmid","DEBY188","Schwabach/Angerstraße","SPO.DE_DEBY188_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2020","15.400","ug/m3","99.18","1","Background","Urban","11.0279","49.3227","344.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA.DE_DEBY188&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BW","Christiane Lutz-Holzhauer","DEBW081","Karlsruhe-Nordwest","SPO.DE_DEBW081_PM1_dataGroup2","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2017","16.380","ug/m3","99.64","1","Background","Urban","8.3556","49.0286","114.0","Karlsruhe                                                                       ","DE035C1                                           ","312060","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA.DE_DEBW081&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_BY","Susanne Schmid","DEBY006","Augsburg/Königsplatz","SPO.DE_DEBY006_PM1_dataGroup1","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2021","16.740","ug/m3","99.90","3","Traffic","Urban","10.8950","48.3646","492.0","Augsburg                                                                        ","DE033C1                                           ","296582","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA.DE_DEBY006&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Germany","NET.DE_RP","Margit von Döhren","DERP022","Bad Kreuznach-Bosenheimer Straße","SPO.DE_DERP022_PM1_dataGroup3","PM10","Particulate matter < 10 µm (aerosol)","P3Y","3 subsequent calendar years mean","2018","15.715","ug/m3","48.00","1","Background","Urban","7.8662","49.8412","108.0","","","","E1a/validated data AQ e-Reporting","11/05/2023 20:43:57","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DE&CityName=&Pollutant=5&Year_from=2018&Year_to=2018&Station=STA.DE_DERP022&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
