WHO Region,ISO3,WHO Country Name,City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Reference,Number and type of monitoring stations,Version of the database,Status
European Region,DEU,Germany,Ansbach,2013,,23.06,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2014,12.8,20.42,31.83,,,99.69178082,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2015,13.02,19.65,33.09,,,99.29223744,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2016,11.9,17.5,33.0,,,99.78369763,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2017,13.39,20.13,31.65,,,99.80593607,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2018,13.08,19.03,31.08,,,99.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Ansbach,2019,10.78,17.9,27.92,,,99.7716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2010,,20.65,21.5,,96.176,97.135,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Arzberg,2013,15.09,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2014,14.52,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2015,13.37,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2016,11.66,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2017,12.24,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2018,14.26,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Arzberg,2019,11.94,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2010,,20.68,33.75,,99.829,99.886,European Environment Agency (downloaded in 2021),2 suburban,2022,
European Region,DEU,Germany,Aschaffenburg,2013,13.41,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2014,12.6,,28.91,,,99.89726027,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2015,12.23,,30.44,,,99.9086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2016,10.69,,31.13,,,99.88615665,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2017,11.68,,30.63,,,99.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2018,11.78,,27.7,,,99.94292237,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschaffenburg,2019,10.04,,25.04,,,99.79452055,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2010,,29.59,30.52,,98.63,99.578,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Aschersleben,2013,,24.87,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2014,,25.92,29.56,,,99.00684932,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2015,,22.88,27.49,,,99.61187215,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2016,,21.71,28.56,,,99.59016393,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2017,,20.12,26.24,,,99.45205479,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2018,,22.92,28.5,,,98.75570776,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Aschersleben,2019,,19.95,24.56,,,98.82420091,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2010,15.99,27.95,42.19,95.4285,98.611,99.44625,European Environment Agency (downloaded in 2021),"3 suburban, 6 urban",2022,
European Region,DEU,Germany,Augsburg,2013,15.31,,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2014,12.92,21.5,30.71,,,99.771689495,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2015,12.99,20.99,31.46,,,99.50913242,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2016,11.54,18.17,30.07,,,99.6470856125,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2017,11.85,17.93,28.97,,,99.808789955,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2018,13.13,19.98,28.55,,,99.7345890425,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Augsburg,2019,10.55,17.44,25.5,,,99.66038813,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2013,,,7.61,,,94.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2014,,9.51,6.37,,,94.55479452,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2015,,10.2,6.46,,,93.02511416,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2016,,9.02,5.48,,,95.07058288,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2017,,8.34,5.27,,,98.93835616,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2018,,10.61,5.31,,,98.59589041,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Auw Bei Prum,2019,,8.9,4.39,,,99.47488584,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2013,12.76,16.4,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2014,11.08,15.29,9.37,,,99.31506849,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2015,11.42,14.38,9.43,,,99.12100457,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2016,10.39,13.75,9.19,,,97.68897996,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2017,10.62,14.68,8.94,,,97.94520548,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2018,11.36,15.04,8.75,,,97.73972603,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen,2019,8.69,11.66,7.74,,,96.56392694,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Arolsen/Kohlgrund,2010,13.36,16.88,10.19,99.041,99.486,99.486,European Environment Agency (downloaded in 2021),3 rural,2022,
European Region,DEU,Germany,Bad Belzig,2010,,20.55,9.66,,98.151,97.226,European Environment Agency (downloaded in 2021),2 rural,2022,
European Region,DEU,Germany,Bad Belzig,2014,13.05,,7.26,,,98.64155251,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Belzig,2015,,14.72,6.67,,,99.98858447,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Belzig,2016,,14.54,7.12,,,99.29417122,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Belzig,2017,10.41,15.04,6.57,,,99.89726027,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Belzig,2018,11.97,14.76,7.36,,,99.92009132,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Belzig,2019,8.97,13.34,6.78,,,99.93150685,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2014,,7.2,4.98,,,98.53881279,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2015,,7.85,5.59,,,99.93150685,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2016,,7.1,6.09,,,99.8064663,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2017,,7.48,7.02,,,99.76027397,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2018,,8.57,7.16,,,99.33789954,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Hindelang,2019,,6.79,7.56,,,99.8173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2010,15.62,,31.76,99.6,,92.443,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Bad Kreuznach,2013,13.71,,26.2,,,95.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2014,13.08,,24.99,,,95.11415525,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2015,12.71,,24.4,,,94.80593607,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2016,11.58,,23.97,,,96.68715847,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2017,11.35,,23.01,,,99.34931507,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2018,12.4,,24.21,,,98.74429224,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Kreuznach,2019,11.03,,22.21,,,99.42922374,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2010,18.4,22.43,44.52,97.42,98.5845,95.685,European Environment Agency (downloaded in 2021),4 suburban,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2013,14.15,18.21,35.95,,,95.44520548,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2014,14.52,19.87,28.66,,,95.89041096,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2015,12.79,17.82,19.52,,,94.56621005,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2016,12.96,17.11,19.59,,,95.89025501,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2017,11.91,16.14,22.6,,,95.86757991,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2018,,17.49,19.39,,99.80593607,99.80593607,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Lauterberg Im Harz,2019,,14.33,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bad Reichenhall,2010,,,20.59,,,98.208,European Environment Agency (downloaded in 2021),1 suburban,2022,
European Region,DEU,Germany,Bad Reichenhall,2019,,,10.55,,,99.7716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2013,,15.37,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2014,,15.09,14.66,,,97.69406393,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2015,,15.23,16.2,,,97.87671233,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2016,,15.15,16.54,,,97.51821494,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2017,,14.36,16.52,,,97.8652968,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2018,,13.86,16.3,,,97.99086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baden-Baden,2019,,11.9,13.51,,,97.96803653,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Balingen,2013,,,45.53,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Balingen,2017,,,34.1,,,92.05479452,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Balingen,2018,,,31.24,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Balingen,2019,,,27.63,,,100.0,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2010,,21.4,33.41,,99.989,99.235,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Bamberg,2014,13.61,19.07,23.96,,,99.84018265,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2015,13.08,18.06,22.77,,,98.99543379,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2016,12.19,17.38,23.58,,,99.86338798,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2017,12.5,18.19,23.71,,,99.88584475,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2018,12.72,18.2,23.88,,,99.82876712,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bamberg,2019,10.27,14.96,20.93,,,99.6803653,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Baruther Straße,2019,11.46,16.49,13.77,,,91.26712329,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2010,,26.32,22.5,,96.735,97.694,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Bautzen,2013,,22.05,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2014,,20.84,17.52,,,99.47488584,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2015,,20.61,16.02,,,99.78310502,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2016,,18.21,16.8,,,99.5787796,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2017,,16.61,13.96,,,98.37899543,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2018,,19.48,15.99,,,99.71461187,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bautzen,2019,,14.57,14.07,,,99.33789954,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2010,,23.87,32.85,,99.418,98.128,European Environment Agency (downloaded in 2021),4 urban,2022,
European Region,DEU,Germany,Bayreuth,2014,,20.46,30.88,,,99.74885845,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2015,,19.55,31.26,,,92.78538813,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2016,,18.03,29.9,,,99.73816029,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2017,,18.32,28.76,,,99.78310502,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2018,,19.96,29.8,,,97.2716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bayreuth,2019,,16.64,27.22,,,99.8173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2010,,19.48,17.95,,98.311,99.84,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Bebra,2013,,20.0,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2014,,20.2,15.93,,,99.8173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2015,,18.6,15.33,,,99.73744292,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2016,,17.39,14.91,,,99.71539162,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2017,,17.55,15.82,,,99.8173516,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2018,,18.39,15.61,,,99.66894977,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bebra,2019,,15.54,14.35,,,99.543379,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2010,16.21,19.68,12.62,80.982,98.904,98.756,European Environment Agency (downloaded in 2021),3 rural,2022,
European Region,DEU,Germany,Belau,2013,11.61,16.26,10.71,,,98.21917808,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2014,11.56,18.95,10.09,,,99.79452055,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2015,9.87,15.26,9.42,,,97.61415525,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2016,8.96,14.18,9.93,,,99.76092896,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2017,9.35,13.5,9.16,,,99.66894977,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2018,9.25,15.57,8.79,,,99.12100457,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Belau,2019,10.25,15.09,8.66,,,99.60045662,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bensheim,2015,,,45.81,,,90.95890411,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bensheim,2016,,,42.65,,,92.34972678,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bensheim,2017,,,40.66,,,91.23287671,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bensheim,2018,,,39.9,,,99.04109589,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bensheim,2019,,,38.86,,,90.17123288,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2010,21.33,28.62,32.89,97.8765,97.9011428571428,99.063875,European Environment Agency (downloaded in 2021),"7 rural, 2 suburban, 25 urban",2022,
European Region,DEU,Germany,Berlin,2013,16.37,24.08,31.45,,,98.954765981875,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2014,20.55,27.28,31.45,,,98.969035388125,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2015,16.86,23.34,30.49,,,99.04252283125,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2016,16.47,23.16,30.37,,,99.430071721875,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2017,15.62,22.49,29.14,,,99.02968036625,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2018,16.14,23.74,29.83,,,99.1964738711111,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Berlin,2019,13.74,19.57,27.56,,,99.4148041331578,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2010,,31.18,28.59,,99.669,97.523,European Environment Agency (downloaded in 2021),2 urban,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2013,,25.47,,,,,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2014,19.76,27.1,26.81,,,99.97716895,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2015,14.22,21.28,28.23,,,99.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2016,15.24,20.6,26.76,,,99.28278689,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2017,15.91,21.79,24.15,,,99.92009132,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2018,15.14,22.36,23.78,,,99.8630137,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernau Bei Berlin,2019,12.87,20.74,22.65,,,99.9086758,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg,2010,,24.91,23.82,,98.664,99.235,European Environment Agency (downloaded in 2021),2 suburban,2022,
European Region,DEU,Germany,Bernburg (Saale),2014,,21.78,20.87,,,99.10958904,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg (Saale),2015,,18.54,20.11,,,99.28082192,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg (Saale),2016,,18.3,19.47,,,99.32832423,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg (Saale),2017,,17.24,18.08,,,99.29223744,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg (Saale),2018,,18.96,17.84,,,99.49771689,European Environment Agency (downloaded in 2021),,2022,
European Region,DEU,Germany,Bernburg (Saale),2019,,16.04,16.11,,,99.52054795,European Environment Agency (downloaded in 2021),,2022,
